barrio,efector,distancia_red_m,duracion_min
Recoleta,Hospital General de Agudos Bernardino Rivadavia,1038,12.5
Recoleta,Hospital General de Niños Doctor Ricardo Gutiérrez,2190,26.3
Recoleta,Hospital Odontológico Doctor Ramón Carrillo,966,11.6
Recoleta,Hospital de Clínicas José de San Martín,1993,23.9
Villa Lugano,Centro Médico Barrial Nº 9,1182,14.2
Villa Lugano,Centro de Salud y Acción Comunitaria Nº 18,1472,17.7
Villa Lugano,Centro de Salud y Acción Comunitaria Nº 28,2816,33.8
Villa Lugano,Centro de Salud y Acción Comunitaria Nº 29,1963,23.6
Villa Lugano,Centro de Salud y Acción Comunitaria Nº 3,2497,30.0
Villa Lugano,Centro de Salud y Acción Comunitaria Nº 43,1739,20.9
Villa Lugano,Centro de Salud y Acción Comunitaria Nº 44,2244,26.9
Villa Lugano,Centro de Salud y Acción Comunitaria Nº 5,1902,22.8
Villa Lugano,Centro de Salud y Acción Comunitaria Nº 7,1486,17.8
