codigo,poblacion,poblacion_14_17,poblacion_18_29,poblacion_30_49,poblacion_50_64,poblacion_65_mas
02007,221001,9308,45844,68126,34779,30988
02014,160609,5281,37173,43622,25309,32564
02021,193537,7919,36826,60101,32617,30948
02028,227024,12426,40351,67554,36166,31021
02035,192449,7613,31569,61953,33343,34670
02042,201764,8099,29058,63810,35726,39967
02049,213262,10111,33433,63322,37930,37857
02056,203888,13236,39097,57694,29283,22550
02063,167908,9051,26290,48188,30010,29092
02070,171896,8228,25196,50523,31471,32997
02077,201905,9219,28997,60353,37580,39298
02084,235364,9669,32842,78860,40026,42372
02091,262330,10627,39449,80285,46446,53085
02098,247252,8283,46135,76860,41247,47219
02105,195265,8127,30977,64879,33423,32376
06007,17344,993,2572,4659,3171,2725
06014,12847,793,2063,3408,2068,1970
06021,12906,786,1807,3446,2039,2322
06028,583209,38765,109916,163227,86112,63614
06035,366117,21507,63468,104208,59045,52697
06042,21757,1464,3497,5908,3266,3119
06049,75152,4712,12419,20212,11644,11355
06056,334505,18624,60883,96132,50878,46674
06063,48516,2864,7758,13310,7771,7418
06070,39223,2567,6984,10841,5672,4932
06077,32077,1980,5662,8623,4792,4338
06084,21185,1391,3271,5480,3483,3360
06091,358328,23712,66078,101844,53912,39565
06098,100685,6482,18615,28372,14798,11311
06105,37194,2157,5664,9926,5847,6347
06112,46227,2900,7056,12281,7575,7569
06119,32350,2355,5679,9050,4473,3632
06126,107976,7170,19950,30738,15847,11678
06134,70542,5042,12735,20501,8880,6359
06140,15882,971,2706,4572,2431,2050
06147,22905,1454,3752,6152,3729,3254
06154,14007,880,2175,3747,2151,2214
06161,17345,1164,3000,4763,2544,2232
06168,9551,599,1706,2617,1441,1268
06175,27406,1746,4782,7326,4372,3912
06182,65823,4292,11727,18263,9571,8847
06189,15795,975,2134,4151,2690,2850
06196,24110,1491,3544,6186,4065,3814
06203,41713,2424,5969,11709,7152,6580
06210,52409,3257,8633,14465,8249,8189
06218,42191,2843,6694,12062,6241,5455
06224,70554,4341,11496,19279,11138,11116
06231,18328,1239,2938,4923,2862,2679
06238,31405,2066,5303,8272,4840,4515
06245,63978,4370,11738,17692,9137,7209
06252,256071,17100,47123,75144,35630,22766
06260,337880,22606,64986,96970,47016,31605
06266,40036,2546,6923,11678,5770,4103
06270,198620,13990,39209,59009,25159,14871
06274,488103,34715,99087,135527,61892,38701
06277,10759,748,1813,2728,1675,1442
06280,45307,2790,7482,12125,7099,6717
06287,10150,618,1745,2801,1547,1400
06294,16231,938,2502,4321,2681,2823
06301,20674,1301,3295,5671,3028,3199
06308,3157,218,435,854,510,515
06315,22566,1597,3848,6123,3360,3053
06322,11535,664,1789,3161,1885,1741
06329,17980,1233,3228,4974,2590,2138
06336,4846,355,766,1357,704,528
06343,14141,963,2320,3854,1958,2031
06351,12842,790,2162,3403,1907,1969
06357,660569,38238,112759,183361,109169,103876
06364,142315,10329,26390,41576,16419,9588
06371,444503,26347,77192,127595,71002,63232
06385,22530,1325,3612,6029,3374,3499
06392,35055,2302,5767,9394,5325,4855
06399,11662,688,1843,3060,1880,1996
06406,10581,630,1656,2719,1675,1815
06408,185361,11299,32615,52090,29777,26481
06410,177983,10787,29115,50761,30774,25594
06412,326527,22513,63892,92118,41572,28491
06413,100964,5879,16234,28537,15241,15630
06420,100400,6752,16202,26283,16207,14442
06427,1837168,119317,343412,527419,247790,184047
06434,460081,26491,76663,131542,76142,70028
06441,756074,43565,151322,218699,110331,91132
06448,11496,779,1887,3033,1764,1548
06455,27136,1648,4370,7093,4409,4407
06462,17153,1114,2867,4475,2542,2651
06466,6170,380,1057,1721,951,888
06469,45191,2826,6962,12186,7242,7149
06476,18106,1109,2914,4750,3124,2764
06483,41418,2661,6852,11222,6088,5924
06490,685644,43352,121906,196158,101509,83848
06497,110111,6926,19274,31522,16907,13088
06505,22653,1490,4148,6298,2982,2639
06511,11253,691,1752,3064,1757,1741
06515,349401,23272,67433,99181,50813,36602
06518,32973,2017,4890,9635,5194,4560
06525,64761,4854,12452,18112,8337,5339
06532,71002,4512,12453,19560,10575,9496
06539,581484,39683,110700,162884,80142,58219
06547,24616,1610,3998,6996,3542,3121
06553,8444,528,1308,2426,1316,1202
06560,575758,39873,112178,165387,73665,46713
06568,329517,17717,53147,94957,56526,55926
06574,19888,1394,3508,5322,2910,2564
06581,101483,6237,15796,27518,16948,15968
06588,52366,3395,8228,13808,8421,7946
06595,122011,7661,21212,32697,19420,17523
06602,37499,2249,6252,10862,5656,4776
06609,44594,2948,6983,11511,7190,6925
06616,7112,416,1095,1868,1125,1022
06623,114988,6993,18370,31874,18064,16961
06630,4615,291,809,1274,669,502
06638,393614,27641,77387,112681,54161,30240
06644,39224,2679,6922,11716,5648,3997
06648,101994,7788,20102,28843,11765,6781
06651,16391,833,2201,4337,3096,3262
06655,12161,681,2005,3237,1845,1881
06658,631774,40041,113798,177181,94748,77467
06665,39648,2737,7100,10986,5414,4550
06672,16491,1040,2610,4403,2518,2693
06679,19735,1297,3331,5203,3086,2462
06686,25619,1590,4056,6908,4031,4065
06693,13901,919,2375,3874,1985,1869
06700,21407,1251,3160,5982,3730,3460
06707,35423,2260,5568,9477,5416,5640
06714,39257,2561,6802,10583,5793,5284
06721,9344,589,1357,2635,1543,1467
06728,26399,1724,4802,7287,3866,3106
06735,26695,1706,4531,7466,4091,3492
06742,8918,508,1381,2426,1482,1506
06749,171099,10321,30922,48702,27061,22213
06756,295978,16763,46761,79452,52890,52769
06760,327650,20326,63253,93949,47183,35950
06763,166657,10179,28201,46541,25917,22629
06770,68353,4681,12449,18514,9548,7870
06778,97929,7288,18115,27859,11622,7187
06784,11736,865,1970,3173,1709,1505
06791,144678,8487,25416,41914,22270,20012
06798,10695,721,1817,2748,1692,1551
06805,446291,30138,80855,128392,68623,45964
06812,2528,147,502,666,401,235
06819,14591,829,2038,4062,2590,2330
06826,49128,3059,7880,13985,7547,6583
06833,61889,3697,9119,16977,10422,10112
06840,362319,19888,60965,105036,60208,56432
06847,9090,547,1473,2467,1354,1423
06854,35411,2192,5651,9283,5695,5582
06861,280541,14249,39771,80231,51808,53565
06868,37325,2609,6008,10712,5918,4582
06875,32552,2225,6113,9040,4654,3715
06882,131415,8950,24870,37334,18497,14164
10007,5087,271,994,1346,841,764
10014,3282,225,592,865,525,445
10021,19545,1339,3857,5407,2772,2230
10028,1822,109,430,502,181,184
10035,30353,2298,6125,8420,3979,2996
10042,19471,1335,4186,5394,2493,1771
10049,186466,11683,38512,55059,25677,18335
10056,4375,326,804,1159,583,516
10063,14624,926,2985,4221,2011,1404
10070,26043,1889,5431,7107,3573,2348
10077,4696,277,927,1304,674,606
10084,12219,894,2439,3296,1649,1251
10091,26822,1747,5395,7211,3828,3025
10098,13317,959,2746,3659,1781,1339
10105,25254,1829,5194,6589,3530,2878
10112,33951,2200,6825,10308,4591,2928
